name,group
GSM5652311_Lung-Interstitial-Macrophages-Z0000044D,Lung-Interstitial-Macrophages
GSM5652312_Lung-Interstitial-Macrophages-Z0000044E,Lung-Interstitial-Macrophages
GSM5652313_Blood-Granulocytes-Z000000TZ,Blood-Granulocytes
GSM5652314_Blood-Granulocytes-Z000000UD,Blood-Granulocytes
GSM5652315_Blood-Granulocytes-Z000000UT,Blood-Granulocytes
GSM5652316_Blood-B-Z000000TX,Blood-B
GSM5652317_Blood-B-Z000000UB,Blood-B
GSM5652318_Blood-B-Z000000UR,Blood-B
GSM5652319_Blood-B-Mem-Z0000041J,Blood-B-Mem
GSM5652320_Blood-B-Mem-Z0000041K,Blood-B-Mem
GSM5652321_Epidermal-Keratinocytes-Z00000424,Epidermal-Keratinocytes
GSM5652322_Tonsil-Palatine-Epithelial-Z000000QF,Tonsil-Palatine-Epithelium
GSM5652323_Tonsil-Palatine-Epithelial-Z000000RP,Tonsil-Palatine-Epithelium
GSM5652324_Tonsil-Palatine-Epithelial-Z000000RR,Tonsil-Palatine-Epithelium
GSM5652325_Tonsil-Pharyngeal-Epithelial-Z000000Q9,Tonsil-Pharyngeal-Epithelium
GSM5652326_Tonsil-Pharyngeal-Epithelial-Z000000S1,Tonsil-Pharyngeal-Epithelium
GSM5652327_Tongue-Epithelial-Z000000QV,Tongue-Epithelium
GSM5652328_Tongue-Epithelial-Z00000449,Tongue-Epithelium
GSM5652329_Tongue-Epithelial-Z0000044F,Tongue-Epithelium
GSM5652330_Tongue_base-Epithelial-Z0000044B,Tongue_base-Epithelium
GSM5652331_Larynx-Epithelial-Z000000QB,Larynx-Epithelium
GSM5652332_Esophagus-Epithelial-Z000000PZ,Esophagus-Epithelium
GSM5652333_Esophagus-Epithelial-Z00000426,Esophagus-Epithelium
GSM5652334_Pharynx-Epithelial-Z0000044A,Pharynx-Epithelium
GSM5652335_Lung-Bronchus-Epithelial-Z000000QD,Lung-Bronchus-Epithelium
GSM5652336_Lung-Bronchus-Epithelial-Z000000RZ,Lung-Bronchus-Epithelium
GSM5652337_Lung-Bronchus-Epithelial-Z000000S5,Lung-Bronchus-Epithelium
GSM5652338_Prostate-Epithelial-Z000000RV,Prostate-Epithelium
GSM5652339_Prostate-Epithelial-Z000000S3,Prostate-Epithelium
GSM5652340_Prostate-Epithelial-Z0000045F,Prostate-Epithelium
GSM5652341_Prostate-Epithelial-Z0000045G,Prostate-Epithelium
GSM5652342_Bladder-Epithelial-Z000000QM,Bladder-Epithelium
GSM5652343_Bladder-Epithelial-Z000000QP,Bladder-Epithelium
GSM5652344_Bladder-Epithelial-Z0000043F,Bladder-Epithelium
GSM5652345_Bladder-Epithelial-Z0000044L,Bladder-Epithelium
GSM5652346_Bladder-Epithelial-Z00000450,Bladder-Epithelium
GSM5652347_Breast-Luminal-Epithelial-Z000000V2,Breast-Luminal-Epithelium
GSM5652348_Breast-Luminal-Epithelial-Z000000VJ,Breast-Luminal-Epithelium
GSM5652349_Breast-Luminal-Epithelial-Z000000VN,Breast-Luminal-Epithelium
GSM5652350_Breast-Basal-Epithelial-Z000000V6,Breast-Basal-Epithelium
GSM5652351_Breast-Basal-Epithelial-Z000000VG,Breast-Basal-Epithelium
GSM5652352_Breast-Basal-Epithelial-Z000000VL,Breast-Basal-Epithelium
GSM5652353_Breast-Basal-Epithelial-Z0000043E,Breast-Basal-Epithelium
GSM5652354_Lung-Alveolar-Epithelial-Z000000T1,Lung-Alveolar-Epithelium
GSM5652355_Lung-Alveolar-Epithelial-Z000000VC,Lung-Alveolar-Epithelium
GSM5652356_Lung-Alveolar-Epithelial-Z000000VE,Lung-Alveolar-Epithelium
GSM5652357_Lung-Pleura-Z0000042B,Lung-Pleura
GSM5652358_Gallbladder-Epithelial-Z00000432,Gallbladder-Epithelium
GSM5652359_Gastric-fundus-Epithelial-Z000000RX,Gastric-fundus-Epithelium
GSM5652360_Gastric-fundus-Epithelial-Z000000SK,Gastric-fundus-Epithelium
GSM5652361_Gastric-fundus-Epithelial-Z000000SV,Gastric-fundus-Epithelium
GSM5652362_Gastric-body-Epithelial-Z000000SD,Gastric-body-Epithelium
GSM5652363_Gastric-body-Epithelial-Z000000SM,Gastric-body-Epithelium
GSM5652364_Gastric-body-Epithelial-Z000000ST,Gastric-body-Epithelium
GSM5652365_Gastric-antrum-Epithelial-Z000000SF,Gastric-antrum-Epithelium
GSM5652366_Gastric-antrum-Epithelial-Z000000SP,Gastric-antrum-Epithelium
GSM5652367_Gastric-antrum-Epithelial-Z000000SR,Gastric-antrum-Epithelium
GSM5652368_Gastric-antrum-Endocrine-Z00000437,Gastric-antrum-Endocrine
GSM5652369_Gastric-antrum-Endocrine-Z00000438,Gastric-antrum-Endocrine
GSM5652370_Colon-Right-Epithelial-Z000000V0,Colon-Right-Epithelium
GSM5652371_Colon-Right-Epithelial-Z000000V8,Colon-Right-Epithelium
GSM5652372_Colon-Right-Endocrine-Z0000044S,Colon-Right-Endocrine
GSM5652373_Colon-Left-Epithelial-Z000000VA,Colon-Left-Epithelium
GSM5652374_Colon-Left-Endocrine-Z0000044J,Colon-Left-Endocrine
GSM5652375_Colon-Left-Endocrine-Z0000044T,Colon-Left-Endocrine
GSM5652376_Colon-Left-Epithelial-Z0000043B,Colon-Left-Epithelium
GSM5652377_Colon-Left-Epithelial-Z0000043C,Colon-Left-Epithelium
GSM5652378_Small-int-Epithelial-Z0000042V,Small-int-Epithelium
GSM5652379_Small-int-Epithelial-Z000000RT,Small-int-Epithelium
GSM5652380_Small-int-Epithelial-Z000000UW,Small-int-Epithelium
GSM5652381_Small-int-Epithelial-Z000000UY,Small-int-Epithelium
GSM5652382_Small-int-Endocrine-Z00000436,Small-int-Endocrine
